"Headline","Bias","Reliability"
"‘You choking me, sir’: Baltimore Police officer charged with assault, misconduct over forceful arrest captured on video","-2.33","46.33"
"Pence vows support for police as Trump makes surprise trip to Fort McHenry; guests crowd together to greet candidates","0.67","48.33"
"Maryland reports 577 newly confirmed coronavirus cases, six more deaths","-1.67","46"
"Baltimore suspends recycling pickup until Nov. 1 due to staffing shortages caused by coronavirus, heat: ’We need more help’","-3.33","42.67"
"Montgomery County issues new order to block in-person classes at private schools until October","-3.33","51.33"
"Rey Rivera’s friend, former Baltimore employer pushes back on Netflix’s ‘Unsolved Mysteries'","0","45"
"Maryland coronavirus updates: With First Thursdays canceled, WTMD heads for the water; Restaurant Week vital for Carroll County","-3.33","50.67"
"Maryland elections officials poised to offer new November election format to governor as time runs short","-2.67","47.67"
"Maryland state trooper pleads guilty to fabricating DUI arrests, writing tickets to phantom people","-2.67","50.33"
"University System of Maryland requiring masks on campus this fall amid coronavirus pandemic","-0.67","46.67"
"Coronavirus cases climb near Ocean City, as restaurants shutter due to employees testing positive","-6","48.67"
"Baltimore to suspend indoor dining at bars and restaurants, expand mask requirements as COVID-19 cases rise","-5","49.67"
"Maryland weather: Floodwaters carry away some vehicles; more heavy storms could be on the way Thursday","-0.33","48.67"
"Maryland schools superintendent stresses ‘local flexibility’ for fall reopening, doesn’t mandate virtual start","-2.33","48.33"
"Biden: This will be 'decisive decade' for tackling climate change","-7.67","44"
"Obituary: Rush Limbaugh, provocative US radio host","-3.75","43.25"
"Covid: New Zealand reports first case in the community in months","0","48.33"
"Marjorie Taylor Greene: US House votes to strip Republican of key posts","-1.5","51.25"
"Lil Wayne and Kodak Black: Why did Donald Trump grant the rappers clemency?","-1","45"
"Dustin Higgs: Final execution of Trump presidency is carried out","-5.67","48.67"
"Trump impeached for 'inciting' US Capitol riot in historic second charge","-1.71","45.86"
"Capitol riots: Pro-Trump protesters storm the US legislature - in pictures","-1","54.67"
"Capitol riots: Congress certifies Joe Biden's victory after violent disruption","-0.5","49.5"
"Michael Cohen's book: ANC blasts 'divisive' Trump over Mandela","-4.33","45.33"
"Coronavirus: Loss of smell may be clearer sign than cough","0","51.67"
"EU warns Turkey of sanctions over 'provocations' in Mediterranean","0","50.33"
"Trump mocks Clinton's pneumonia illness","-0.25","34.25"
"'There's a stigma around male fertility': Why Chris Hughes and his brother want us to talk balls","0","45.67"
"The tiny Swiss town that inspired Nietzsche","0","39.33"
"Pope rejects US Secretary of State Mike Pompeo meeting","-2.33","49.67"
"US election 2020: Eric Trump shares false Biden-teleprompter rumour","-3","47.67"
"Kamala Harris: Who is Biden's running mate in 2020 US election?","-1.67","49"
"Trump hails 'dawn of new Middle East' with UAE-Bahrain-Israel deals","0","48"
"Ruth Bader Ginsburg death: Trump to nominate woman to fill Supreme Court seat","-2.67","50"
"Hydroxychloroquine: Why a video promoted by Trump was pulled on social media","-1.71","51.17"
"Canada court rules US 'not safe' for asylum seekers","-4.67","52.33"
"Chinese consulate in Houston ordered to close by US","-0.33","51"
"In pictures: 'Wall of Moms' joins Portland's anti-racism protests","-3","52.33"
"Trump to send 'surge' of hundreds of federal agents to cities","-3.33","46.33"
"Addressing Violence Without Trampling On Gun Rights","16.33","26"
"New York’s Anti-Gun AG Touts Success In Brooklyn “Buyback”","11.67","34.33"
"This Is How Media Tries To Shape Gun Narrative","15","25"
"San Francisco Buyback An Absolute Joke","14.67","26"
"How The Left Blatantly Misrepresents Rittenhouse Support","19","26"
"NYC Woman Facing Felony Charge Over Fake, Inoperable Guns","11.5","36"
"Hundreds Rally Seeking “Justice For Casey Goodson”","1.67","41.33"
"No, Jon Ossoff, Standing Together Isn’t Corruption","20.17","27.33"
"TN Dems Demand ‘Compromise’ On Gun Control Measures","8.5","38.5"
"Undersheriff Indicted In CA Concealed Carry Bribery Scandal","5.17","40.83"
"2A Sanctuary Movement Sees Success In Pacific NW","22","34.67"
"Houston Chief Has Insights On Dem's Failure To Flip TX","16.67","31"
"A Bad Election For Anti-Gun Activists","14.67","31.67"
"DA Won’t Prosecute Those Who Injure Cops","30.33","16.67"
"BLM Ejected From Chicago Neighborhood","18","27.33"
"Kamala Harris Doesn’t Think You Have The Right To Own A Gun","25","18.67"
"With Violence And Unrest Soaring, Support For Gun Control Plummets","22","21.83"
"Guantanamo Bay Detention Camp: Arrests, Indictments and Executions for Thousands of New Ex-Elite Prisoners - Official Documents","42","0.33"
"List of Indictments, Arrests and Executions – Dismantling the Deep State Operatives and Doubles. January 23, 2021","42","0"
"Martial Law Overrules as Many in US Congress to be Arrested","42","1"
"Antifa & BLM Will Go to Guns Soon! Patriots Be Ready! Military Involvement Coming! - Michael Jaco, Former Navy Seal, Must Video","34.33","5"
"Michigan Gag Order Failed: Forensic Results of Dominion Machines Stealing Votes Leaked! (Salty Cracker)","24.33","6"
"Breaking: Biden Loses President-Elect Status After Pennsylvania Win Ripped From His Grasp! - Next News Network Must Video","26.67","7.67"
"Caught! Election Data Analyzed, Producing Detailed List of Over 500,000 Votes Switched From Trump to Biden Via Voting Machine Software Theft, Heavy Fraud Focused on Swing States - Mike Adams +Videos","33","3.33"
"Trump Win Validated by Quantum Blockchain System Recount of Votes","19.33","4.67"
"An Urgent Warning From Dr. Carrie Madej (Must See Video)","32.67","2.33"
"Weekly Update: DHS Response to COVID-19","8.33","42"
"Thousands of Accused Will Be Required to Post Bail Again","-7.33","20"
"It Is Being Projected That More Than 50 Million Americans Will Be Fighting Hunger By The End Of 2020","-6.83","24"
"Warning: You’ve Entered A Terrifying Stage!","17.67","1.33"
"Shrine in memory of aborted children dedicated in Mexico","21","35"
"Digital Content on Track to Equal Half Earth’s Mass by 2245","8","40.33"
"‘AeroNabs’ Promise Powerful, Inhalable Protection Against COVID-19","13.4","21.8"
"Interview: John Moore “The Liberty Man” Warns of Planet X Fly-by, Pole Shift, Asteroid Impacts & Government Cover-ups! +Video","38.33","2.67"
"Dr. Lorraine Day Tells Us The Real Truth About Hydroxychloroquin. It Is Part Of The Alice In Wonderland Program. Casey Tells Us That This “Cure All” Has Been Scripted In The Spars Pandemic Paper Writt","19","3"
"Dave Hodges & Celeste Solum (7/16/2020): What's In the Second Wave Kill Shot That Is Coming to America in the Late Summer? — Head's Up!","37","2"
"They Want to Kill Six Billion of Us - Here's How They'll Do It","37.33","9"
"Adrenochrome: Those Who Know Cannot Sleep","36.67","7.67"
"Information About the Dreaded ""Virus"" They Don't Want You to Know","2.33","17.67"
"An Urgent Warning From Dr. Carrie Madej (Must See Video)","12.25","2.25"
"GOP Congressman Proposes Bribing Americans with Stimulus Money to Take Experimental COVID Vaccines","23.67","9.67"
"Texas Attorney General Sues Biden Administration to Stop ‘Unlawful’ Open Border Policies","17","26.33"
"PATHETIC: National Guard Booted to Parking Lot After Democrat Congressman Complained They Weren’t Wearing Masks","23.67","14.33"
"""RELEASE THEM ALL:"" Tucker Exposes Full Biden Jailbreak Order for Illegal Aliens","21.67","27"
"RIGGED: Twitter Admits ""Bug"" Covered Up for the Lincoln Project's Predator","20.33","25.67"
"Grassroots Leaders Send Final Warning to GOP Establishment: Rejecting Trump Means Death of Republican Party","24.67","29.67"
"Texas Governor Abbott Wants Texas to Be a “Second Amendment Sanctuary”","17","37"
"President Trump Contemplates Ditching the GOP, Starting New ‘Patriot Party’ to Put America First","22.33","22.67"
"SHOW TRIAL: The Senate Can’t Even Hold an Impeachment Trial For a President Who Has Left Office","22.67","31"
"Dan Crenshaw White Knights for Liz Cheney After Republicans Blast Her Support for Trump’s Second Impeachment","22","29"
"Family Claims That Armed Rioter Arrested at D.C. Capitol Rally was 'Not a Trumpster'","27.67","9"
"Steve Bannon's ""War Room"" Channel Yanked from YouTube","9.67","41.67"
"Footage Reveals Capitol Police Removing Barriers Outside of Congress, Enabling Protestors to Flow Through","6.33","36.67"
"Michigan GOP Leaders Work to Prevent Conservative Lawmakers From Seating Pro-Trump Electors","30","9"
"PC GONE MAD: Baseball's Cleveland Indians Will Change Their Name","17.67","31.33"
"Michigan State Police Drops Investigation Into Detroit Lawmaker Who Ordered BLM ‘Soldiers’ to Attack Trump Supporters","26","11.67"
"Sidney Powell Lists Four Alleged Co-Conspirators as She Prepares Massive RICO Case Against Smartmatic, Dominion","24.33","19.33"
"Former Andrew Cuomo Aide Claims New York Governor ""Sexually Harassed Me For Years""","13.33","37"
"DC Catholic Archbishop to Give Joe Biden Communion Despite Radical Pro-Abortion Views","19.33","23.67"
"President Donald Trump to Hold ""Tremendous"" MAGA Rally in Georgia for GOP Senators","10","39.67"
"California's Liberal Political Elite Live in Overwhelmingly White Affluent Suburbs","15","35.67"
"ADL and the Fake News Media are Pressuring Parler to Censor ‘Hate Speech’ Accounts","22.88","23.12"
"HISTORIC: President Trump Brokers Two-State Solution Between Israel and Palestine","13.67","27.33"
"TRAGIC: Judge Reverses 'Save James' Ruling, Forces Father to Finance 8-Year-Old Son's Gender Transition","31.33","22.33"
"Elderly White Woman with Alzheimers Viciously Beaten and Robbed by Black Caregiver in Detroit-Area Nursing Home","29","20"
"Is President Biden Calling the Shots?","22","25.33"
"Bill's Weekly Column","14.67","30.67"
"Can Donald Trump Mount a Comeback?","21","24.67"
"Nobody is Safe from Covid","5.33","31.67"
"BLM Responds to Looting in Chicago-Puts Blame on Police; ACLU Pushes for Open Borders & Brett Tolman on the Durham Investigation","22.33","34.33"
"Too Cool for School","32","17"
"By George, Let's Cancel","25","21.67"
"Bill's Weekly Column","30.67","16.67"
"Conventional Wisdom","29.67","28.33"
"Mobbed-Up","27.67","21"
"BLM Responds to Looting in Chicago-Puts Blame on Police; ACLU Pushes for Open Borders & Brett Tolman on the Durham Investigation","27.33","17"
"The People and Organizations Harming America: Bill O'Reilly's Special Report","28.2","19.4"
"Bill O'Reilly's No Spin Thoughts on Kamala Harris","31","18.33"
"The Amazon Jungle","26.33","22.33"
"The Anthem Blues","15.33","29.33"
"Bill's Message of the Day","18.67","26.33"
"The Strategy to Defeat President Trump","19.67","31.33"
"Joe Biden Against the Police","21.33","31.33"
"Polling My Liberal Friends","22","27"
"Dave Grohl Recalls Being 'Beaten by Police and Rednecks' at Anti-Reagan Concerts","-10.67","37.67"
"Who Should Be Nominated for Song of the Year at the 2021 Grammys? Vote!","0","42.33"
"Big Sean & Post Malone Take a Walk on the Wild Side in 'Wolves' Video","0","43"
"BTS Reflect on Canceled World Tour Amid Coronavirus In 'Life Goes On' Music Video","0","44.33"
"First Country: New Music from Garth Brooks, Morgan Wallen, Lee Brice, Chris Young and More","0","44.67"
"Radiohead Speaks Out on 'Negligence' in Deadly 2012 Stage Collapse","0","45.67"
"R. Kelly Lawyer Says Singer Is 'Suffering' Mentally as Trial Date Set for April","0","48"
